generation,best_cost,avg_cost,worst_cost,best_coverage,avg_coverage,worst_coverage,best_distance,avg_distance,worst_distance,avg_sites,min_sites,max_sites
103,24523668.601334844,113907720.50456671,288192454.3182541,283.55934794938275,283.5593479493828,283.55934794938275,0.7353003053218091,0.9742520274387304,1.8369516217893282,27.04,7.0,64.0
104,24523668.601334844,115124357.11299609,288192454.3182541,283.55934794938275,283.5593479493828,283.55934794938275,0.7353003053218091,0.9776011371102339,1.8369516217893282,27.3,7.0,64.0
105,24523668.601334844,116797045.67460728,288192454.3182541,283.55934794938275,283.5593479493828,283.55934794938275,0.7353003053218091,0.9691626634361971,1.8369516217893282,27.68,7.0,64.0
106,24523668.601334844,116693898.4448506,288192454.3182541,283.55934794938275,283.5593479493828,283.55934794938275,0.7353003053218091,0.9639235395887114,1.8369516217893282,27.72,7.0,64.0
107,24523668.601334844,123981253.37452078,288192454.3182541,283.55934794938275,283.5593479493828,283.55934794938275,0.7353003053218091,0.9470490134338923,1.8369516217893282,29.2,7.0,64.0
108,24523668.601334844,121567446.83563401,288192454.3182541,283.55934794938275,283.5593479493828,283.55934794938275,0.7353003053218091,0.9535456197542943,1.8369516217893282,28.74,7.0,64.0
109,24523668.601334844,121194712.01461153,288192454.3182541,283.55934794938275,283.5593479493828,283.55934794938275,0.7353003053218091,0.9593278271623604,1.8369516217893282,28.62,7.0,64.0
110,24523668.601334844,120468857.8908366,288192454.3182541,283.55934794938275,283.5593479493828,283.55934794938275,0.7353003053218091,0.9553399053999126,1.8369516217893282,28.4,7.0,64.0
111,24523668.601334844,122493587.9337735,303315226.4847932,283.55934794938275,283.5593479493828,283.55934794938275,0.7301420244601866,0.952673650461398,1.8369516217893282,28.82,7.0,66.0
112,24523668.601334844,126871891.95947948,303315226.4847932,283.55934794938275,283.5593479493828,283.55934794938275,0.7301420244601866,0.9468306946166816,1.8369516217893282,29.84,7.0,66.0
113,24523668.601334844,120736420.31909308,303315226.4847932,283.55934794938275,283.5593479493828,283.55934794938275,0.7301420244601866,0.9768843165478107,1.8369516217893282,28.48,7.0,66.0
114,24523668.601334844,111394414.7761529,303315226.4847932,283.55934794938275,283.5593479493828,283.55934794938275,0.7301420244601866,0.9936418388784821,1.8369516217893282,26.52,7.0,66.0
115,24523668.601334844,119521256.35933731,303315226.4847932,283.55934794938275,283.5593479493828,283.55934794938275,0.7301420244601866,0.9835924785355755,1.8369516217893282,28.18,7.0,66.0
116,24523668.601334844,131767162.91493179,303315226.4847932,283.55934794938275,283.5593479493828,283.55934794938275,0.7301420244601866,0.9559608292792368,1.8369516217893282,30.8,7.0,66.0
117,24523668.601334844,126214674.77912942,303315226.4847932,283.55934794938275,283.5593479493828,283.55934794938275,0.7301420244601866,0.9684817421818882,1.8369516217893282,29.58,7.0,66.0
118,24523668.601334844,124899900.49060553,303315226.4847932,283.55934794938275,283.5593479493828,283.55934794938275,0.7301420244601866,0.9738346128083427,1.8369516217893282,29.26,7.0,66.0
119,24523668.601334844,125520616.85407561,303315226.4847932,283.55934794938275,283.5593479493828,283.55934794938275,0.7301420244601866,0.9696917378066665,1.8369516217893282,29.38,7.0,66.0
120,24523668.601334844,119013036.64375307,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9800771771613409,1.8369516217893282,28.04,7.0,64.0
121,24523668.601334844,119886459.2137795,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9800283445425376,1.8369516217893282,28.2,7.0,64.0
122,24523668.601334844,124252059.16878995,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9684103484479987,1.8369516217893282,29.1,7.0,64.0
123,24523668.601334844,118080291.13593815,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9711077634300124,1.8369516217893282,27.76,7.0,64.0
124,24523668.601334844,117122093.70593297,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9714869766845021,1.8369516217893282,27.56,7.0,64.0
125,24523668.601334844,122151502.7755437,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9635235782254735,1.8369516217893282,28.66,7.0,64.0
126,24523668.601334844,114148041.72759749,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9825214791084381,1.8369516217893282,27.04,7.0,64.0
127,24523668.601334844,110558168.64035252,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9895187061189975,1.8369516217893282,26.18,7.0,64.0
128,24523668.601334844,109340231.79838637,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9935133279466168,1.8369516217893282,25.98,7.0,64.0
129,24523668.601334844,110245844.82559213,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9883793470020581,1.8369516217893282,26.2,7.0,64.0
130,24523668.601334844,115762395.49753256,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9831636705534987,1.8369516217893282,27.42,7.0,64.0
131,24523668.601334844,116428676.88318677,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9755710317725941,1.8369516217893282,27.54,7.0,64.0
132,24523668.601334844,117967982.53733368,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9787615589700898,1.8369516217893282,27.86,7.0,64.0
133,24523668.601334844,119563637.98526281,299112645.5144318,283.55934794938275,283.5593479493828,283.55934794938275,0.7294115550297907,0.9779811994513594,1.8369516217893282,28.24,7.0,64.0
134,24523668.601334844,118380342.64860603,305587286.5266478,283.55934794938275,283.5593479493828,283.55934794938275,0.7273339620745936,0.9782486088329762,1.8369516217893282,27.94,7.0,66.0
135,24523668.601334844,117424863.39586619,305587286.5266478,283.55934794938275,283.5593479493828,283.55934794938275,0.7273339620745936,0.9833513868375939,1.8369516217893282,27.78,7.0,66.0
136,24523668.601334844,112590698.74380392,296271358.5442319,283.55934794938275,283.5593479493828,283.55934794938275,0.7273311355128799,0.9870213977074098,1.8369516217893282,26.78,7.0,63.0
137,24523668.601334844,118995781.7579494,296271358.5442319,283.55934794938275,283.5593479493828,283.55934794938275,0.7273311355128799,0.9750816053649467,1.8369516217893282,28.04,7.0,63.0
138,24523668.601334844,114898088.06089962,296271358.5442319,283.55934794938275,283.5593479493828,283.55934794938275,0.7273311355128799,0.9838139917587554,1.8369516217893282,27.14,7.0,63.0
139,24523668.601334844,118220619.4977127,296271358.5442319,283.55934794938275,283.5593479493828,283.55934794938275,0.7273311355128799,0.9796700438833805,1.8369516217893282,27.86,7.0,63.0
140,24523668.601334844,124067166.52642399,296271358.5442319,283.55934794938275,283.5593479493828,283.55934794938275,0.7273311355128799,0.9719386726364435,1.8369516217893282,29.1,7.0,63.0
141,24523668.601334844,122990396.82488032,321765719.2385977,283.55934794938275,283.5593479493828,283.55934794938275,0.7203283315781867,0.9694829314930016,1.8369516217893282,28.76,7.0,69.0
142,24523668.601334844,124480398.14279829,321765719.2385977,283.55934794938275,283.5593479493828,283.55934794938275,0.7203283315781867,0.9691696499691318,1.8369516217893282,29.04,7.0,69.0
143,24523668.601334844,129926479.982482,321765719.2385977,283.55934794938275,283.5593479493828,283.55934794938275,0.7203283315781867,0.9626165525023811,1.8369516217893282,30.12,7.0,69.0
144,24523668.601334844,129122026.07658517,321765719.2385977,283.55934794938275,283.5593479493828,283.55934794938275,0.7203283315781867,0.9634510597669855,1.8369516217893282,29.96,7.0,69.0
145,24523668.601334844,119821303.36933951,321765719.2385977,283.55934794938275,283.5593479493828,283.55934794938275,0.7203283315781867,0.96916923495774,1.8369516217893282,28.02,7.0,69.0
146,24523668.601334844,112298446.90071936,321765719.2385977,283.55934794938275,283.5593479493828,283.55934794938275,0.7203283315781867,0.978716310428853,1.8369516217893282,26.4,7.0,69.0
147,24523668.601334844,112908226.46235332,321765719.2385977,283.55934794938275,283.5593479493828,283.55934794938275,0.7203283315781867,0.98396433937186,1.8369516217893282,26.6,7.0,69.0
148,24523668.601334844,113614760.30799867,321765719.2385977,283.55934794938275,283.5593479493828,283.55934794938275,0.7203283315781867,0.9831413554565591,1.8369516217893282,26.76,7.0,69.0
149,24523668.601334844,111923565.01596609,321765719.2385977,283.55934794938275,283.5593479493828,283.55934794938275,0.7203283315781867,0.987721454115207,1.8369516217893282,26.4,7.0,69.0
